m_1000,3720,27.0,84,,,35.8,30.55,3
m_1000,3730,29.0,84,,,35.8,30.55,3
m_1000,3740,30.0,85,,,35.8,30.55,3
m_1000,3750,27.0,86,,,35.8,30.55,3
m_1000,3760,31.0,86,,,35.8,30.55,3
m_1000,3770,34.0,86,,,35.8,30.55,3
m_1000,3780,31.0,87,,,35.8,30.55,7
m_1000,3790,34.0,87,,,35.8,30.55,7
m_1000,3800,32.0,86,,,35.8,30.55,7
m_1000,3810,34.0,86,,,35.8,30.55,7
m_1000,3820,34.0,87,,,35.8,30.55,7
m_1000,3830,33.0,87,,,35.8,30.55,7
m_1000,3840,31.0,85,,,35.8,30.55,5
m_1000,3850,29.0,84,,,35.8,30.55,5
m_1000,3860,29.0,85,,,35.8,30.55,5
m_1000,3870,31.0,85,,,35.8,30.55,5
m_1000,3880,31.0,85,,,35.8,30.56,5
m_1000,3890,30.0,86,,,35.8,30.56,5
m_1000,3900,33.0,86,,,35.8,30.56,3
m_1000,3910,34.0,87,,,35.8,30.56,3
m_1000,3920,29.0,87,,,35.8,30.56,3
m_1000,3930,30.0,88,,,35.8,30.56,3
m_1000,3940,31.0,87,,,35.8,30.56,3
m_1000,3950,30.0,87,,,35.8,30.56,3
m_1000,3960,27.0,87,,,35.8,30.56,3
m_1000,3970,32.0,88,,,35.8,30.56,3
m_1000,3980,31.0,88,,,35.8,30.56,3
m_1000,3990,29.0,89,,,35.8,30.56,3
m_1000,4000,30.0,88,,,35.8,30.56,3
m_1000,4010,31.0,87,,,35.8,30.56,3
m_1000,4020,29.0,87,,,35.8,30.56,4
m_1000,4030,27.0,87,,,35.8,30.56,4
m_1000,4040,29.0,87,,,35.8,30.56,4
m_1000,4050,30.0,88,,,35.8,30.56,4
m_1000,4060,30.0,88,,,35.8,30.56,4
m_1000,4070,30.0,87,,,35.8,30.56,4
m_1000,4080,32.0,88,,,35.8,30.56,3
m_1000,4090,35.0,88,,,35.8,30.56,3
m_1000,4100,31.0,87,,,35.8,30.56,3
m_1000,4110,31.0,87,,,35.8,30.56,3
m_1000,4120,32.0,87,,,35.8,30.56,3
m_1000,4130,37.0,88,,,35.8,30.56,3
m_1000,4140,30.0,87,,,35.8,30.56,3
m_1000,4150,30.0,87,,,35.8,30.56,3
m_1000,4160,30.0,87,,,35.8,30.56,3
m_1000,4170,28.0,86,,,35.8,30.56,3
m_1000,4180,29.0,85,,,35.8,30.56,3
m_1000,4190,28.0,85,,,35.8,30.56,3
m_1000,4200,29.0,85,,,35.8,30.56,3
m_1000,4210,31.0,85,,,35.8,30.56,3
m_1000,4220,28.0,85,,,35.8,30.56,3
m_1000,4230,33.0,86,,,35.8,30.56,3
m_1000,4240,36.0,86,,,35.81,30.56,3
